YEAR;Date;;Name;Type;Details;
2012;1 Jan;Sunday;New Year's Day;National Holiday;;
2012;26 Jan;Thursday;Australia Day;National Holiday;;
2012;6 Apr;Friday;Good Friday;National Holiday;;
2012;9 Apr;Monday;Easter Monday;National Holiday;;
2012;25 Apr;Wednesday;ANZAC Day;National Holiday;All except NT, WA;
2012;25 Dec;Tuesday;Christmas Day;National Holiday;;
2012;26 Dec;Wednesday;Boxing Day;National Holiday;;
2013;1 Jan;Sunday;New Year's Day;National Holiday;;
2013;26 Jan;Thursday;Australia Day;National Holiday;;
2013;29 Mar;Friday;Good Friday;National Holiday;;
2013;1 Apr;Monday;Easter Monday;National Holiday;;
2013;25 Apr;Wednesday;ANZAC Day;National Holiday;All except NT, WA;
2013;25 Dec;Tuesday;Christmas Day;National Holiday;;
2013;26 Dec;Wednesday;Boxing Day;National Holiday;;
