ZONE,BEST_PARAMS,CV,MODEL,FC,TESTSCORE,TRAINSCORE
ZONE1,,,Baseline,,0.3302210135912689,0.27446162466383145
ZONE2,,,Baseline,,0.2900326855092277,0.2564170795005684
ZONE3,,,Baseline,,0.3126268495274948,0.2965519403875832
ZONE4,,,Baseline,,0.3666470576398193,0.31974992157223237
ZONE5,,,Baseline,,0.3613710806775107,0.32628171727049765
ZONE6,,,Baseline,,0.3557990314838598,0.3312872864702305
ZONE7,,,Baseline,,0.30710596155356806,0.2517341331158887
ZONE8,,,Baseline,,0.3165149385621603,0.2627406293038663
ZONE9,,,Baseline,,0.3124229238224122,0.2768382990048037
ZONE10,,,Baseline,,0.3440262722336318,0.33924636290792637
TOTAL,,,Baseline,,0.3306010336385401,0.29522927422129447
