ZONE,BEST_PARAMS,CV,MODEL,FC,TESTSCORE,TRAINSCORE
ZONE1,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 60, 'p': 1, 'weights': 'distance'}",0.18448989413853795,KNeighborsRegressor,no_card_100Norm,0.1935396637078732,0.0
ZONE2,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 40, 'p': 1, 'weights': 'distance'}",0.15081056042723942,KNeighborsRegressor,no_card_100Norm,0.17409661626543388,0.0
ZONE3,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 60, 'p': 1, 'weights': 'distance'}",0.1644495831284874,KNeighborsRegressor,no_card_100Norm,0.16754340209870447,0.0
ZONE4,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 40, 'p': 1, 'weights': 'distance'}",0.18421105591894485,KNeighborsRegressor,no_card_100Norm,0.18333583899365505,0.0
ZONE5,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 40, 'p': 1, 'weights': 'distance'}",0.1899470668862291,KNeighborsRegressor,no_card_100Norm,0.18825316632506586,0.0
ZONE6,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 50, 'p': 1, 'weights': 'distance'}",0.19192118383150086,KNeighborsRegressor,no_card_100Norm,0.19524653015337937,0.0
ZONE7,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 70, 'p': 1, 'weights': 'distance'}",0.14214199740937822,KNeighborsRegressor,no_card_100Norm,0.1572739109649631,0.0
ZONE8,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 80, 'p': 1, 'weights': 'distance'}",0.16604573745548104,KNeighborsRegressor,no_card_100Norm,0.20029774914929754,0.0
ZONE9,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 60, 'p': 1, 'weights': 'distance'}",0.17318877358411958,KNeighborsRegressor,no_card_100Norm,0.16825660272528012,0.0
ZONE10,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 50, 'p': 1, 'weights': 'distance'}",0.20776284222059477,KNeighborsRegressor,no_card_100Norm,0.20817593169571608,0.0
