ZONE,BEST_PARAMS,CV,MODEL,FC,TESTSCORE,TRAINSCORE
ZONE1,"{'C': 0.1, 'dual': True, 'epsilon': 0.0, 'fit_intercept': True, 'intercept_scaling': 1.0, 'loss': 'epsilon_insensitive', 'max_iter': 100000, 'random_state': None, 'tol': 0.0001, 'verbose': 0}",0.18959220017297773,LinearSVR,no_comp_plus_100Norm,0.1966398637619377,0.18206988208814565
ZONE2,"{'C': 1, 'dual': True, 'epsilon': 0.0, 'fit_intercept': True, 'intercept_scaling': 1.0, 'loss': 'epsilon_insensitive', 'max_iter': 100000, 'random_state': None, 'tol': 0.0001, 'verbose': 0}",0.15232315701902538,LinearSVR,no_deg_norm,0.1752566264416741,0.14396211906064457
ZONE3,"{'C': 0.1, 'dual': True, 'epsilon': 0.0, 'fit_intercept': True, 'intercept_scaling': 1.0, 'loss': 'epsilon_insensitive', 'max_iter': 100000, 'random_state': None, 'tol': 0.0001, 'verbose': 0}",0.1604756403572581,LinearSVR,no_deg_norm,0.15391249516455482,0.15135509478084802
ZONE4,"{'C': 1, 'dual': True, 'epsilon': 0.0, 'fit_intercept': True, 'intercept_scaling': 1.0, 'loss': 'epsilon_insensitive', 'max_iter': 100000, 'random_state': None, 'tol': 0.0001, 'verbose': 0}",0.18814770883668838,LinearSVR,no_deg_norm,0.17370167081934634,0.17749886674026644
ZONE5,"{'C': 0.1, 'dual': True, 'epsilon': 0.0, 'fit_intercept': True, 'intercept_scaling': 1.0, 'loss': 'epsilon_insensitive', 'max_iter': 100000, 'random_state': None, 'tol': 0.0001, 'verbose': 0}",0.1912070023225608,LinearSVR,no_deg,0.1783072767486968,0.1779593007813229
ZONE6,"{'C': 1, 'dual': True, 'epsilon': 0.0, 'fit_intercept': True, 'intercept_scaling': 1.0, 'loss': 'epsilon_insensitive', 'max_iter': 100000, 'random_state': None, 'tol': 0.0001, 'verbose': 0}",0.19373520110929374,LinearSVR,all,0.19166468231189743,0.17891308801108383
ZONE7,"{'C': 10, 'dual': True, 'epsilon': 0.0, 'fit_intercept': True, 'intercept_scaling': 1.0, 'loss': 'epsilon_insensitive', 'max_iter': 100000, 'random_state': None, 'tol': 0.0001, 'verbose': 0}",0.14601295599777647,LinearSVR,no_deg_norm,0.1484101771202536,0.13528955653080096
ZONE8,"{'C': 1, 'dual': True, 'epsilon': 0.0, 'fit_intercept': True, 'intercept_scaling': 1.0, 'loss': 'epsilon_insensitive', 'max_iter': 100000, 'random_state': None, 'tol': 0.0001, 'verbose': 0}",0.16985634603599636,LinearSVR,no_deg_norm,0.19352611037796005,0.1606290854587847
ZONE9,"{'C': 0.1, 'dual': True, 'epsilon': 0.0, 'fit_intercept': True, 'intercept_scaling': 1.0, 'loss': 'epsilon_insensitive', 'max_iter': 100000, 'random_state': None, 'tol': 0.0001, 'verbose': 0}",0.1714960718650403,LinearSVR,no_comp_plus_100Norm,0.16423247868175792,0.1652444971558088
ZONE10,"{'C': 0.1, 'dual': True, 'epsilon': 0.0, 'fit_intercept': True, 'intercept_scaling': 1.0, 'loss': 'epsilon_insensitive', 'max_iter': 100000, 'random_state': None, 'tol': 0.0001, 'verbose': 0}",0.20728850504984503,LinearSVR,all,0.21286050214117977,0.19833125272951901
