,MODEL,FC,ZONE,FEAT_IMP
U10,RandomForestRegressor,no_deg_norm,1,0.019553279904414977
V10,RandomForestRegressor,no_deg_norm,1,0.01681527552427273
U100,RandomForestRegressor,no_deg_norm,1,0.06606581815473112
V100,RandomForestRegressor,no_deg_norm,1,0.01674472748076482
HOUR,RandomForestRegressor,no_deg_norm,1,0.04094560886462014
MONTH,RandomForestRegressor,no_deg_norm,1,0.026983478650184346
WEEKDAY,RandomForestRegressor,no_deg_norm,1,0.011570736570419774
IS_HOLIDAY,RandomForestRegressor,no_deg_norm,1,0.00011575928143646627
WS10,RandomForestRegressor,no_deg_norm,1,0.023001353356746163
WS100,RandomForestRegressor,no_deg_norm,1,0.7698441710432834
WD100CARD_ENE,RandomForestRegressor,no_deg_norm,1,1.1886911558622833e-05
WD100CARD_ESE,RandomForestRegressor,no_deg_norm,1,0.0003928855755753315
WD100CARD_N,RandomForestRegressor,no_deg_norm,1,0.00016428612287825502
WD100CARD_NE,RandomForestRegressor,no_deg_norm,1,0.00018636775163247712
WD100CARD_NNE,RandomForestRegressor,no_deg_norm,1,0.00016301464036632283
WD100CARD_NNW,RandomForestRegressor,no_deg_norm,1,0.0014137427423335535
WD100CARD_NW,RandomForestRegressor,no_deg_norm,1,0.0005621110169698165
WD100CARD_S,RandomForestRegressor,no_deg_norm,1,4.6602323354612846e-05
WD100CARD_SE,RandomForestRegressor,no_deg_norm,1,0.00029103595770088386
WD100CARD_SSE,RandomForestRegressor,no_deg_norm,1,0.00039674678826226656
WD100CARD_SSW,RandomForestRegressor,no_deg_norm,1,0.00016365963113471448
WD100CARD_SW,RandomForestRegressor,no_deg_norm,1,0.00020135301243298122
WD100CARD_W,RandomForestRegressor,no_deg_norm,1,7.703473071514594e-05
WD100CARD_WNW,RandomForestRegressor,no_deg_norm,1,0.00020917277141266704
WD100CARD_WSW,RandomForestRegressor,no_deg_norm,1,0.0001412411181950005
WD10CARD_ENE,RandomForestRegressor,no_deg_norm,1,6.621261699007543e-05
WD10CARD_ESE,RandomForestRegressor,no_deg_norm,1,6.565621017393977e-05
WD10CARD_N,RandomForestRegressor,no_deg_norm,1,0.00020843493298346904
WD10CARD_NE,RandomForestRegressor,no_deg_norm,1,0.0001228490686866235
WD10CARD_NNE,RandomForestRegressor,no_deg_norm,1,0.0003930752179212935
WD10CARD_NNW,RandomForestRegressor,no_deg_norm,1,0.00031483090530301766
WD10CARD_NW,RandomForestRegressor,no_deg_norm,1,0.0004896174906611153
WD10CARD_S,RandomForestRegressor,no_deg_norm,1,2.9394375772294703e-05
WD10CARD_SE,RandomForestRegressor,no_deg_norm,1,0.000535418152665586
WD10CARD_SSE,RandomForestRegressor,no_deg_norm,1,0.00028511610716494817
WD10CARD_SSW,RandomForestRegressor,no_deg_norm,1,9.780839711234672e-05
WD10CARD_SW,RandomForestRegressor,no_deg_norm,1,0.0002462274367680357
