,MODEL,FC,ZONE,FEAT_IMP
U10,RandomForestRegressor,no_deg_norm,1,0.0007922620807359948
V10,RandomForestRegressor,no_deg_norm,1,0.0002968381819438287
U100,RandomForestRegressor,no_deg_norm,1,0.025847506904106553
V100,RandomForestRegressor,no_deg_norm,1,0.0010426748523589685
HOUR,RandomForestRegressor,no_deg_norm,1,0.008044559990927843
MONTH,RandomForestRegressor,no_deg_norm,1,0.0019155904426520626
WEEKDAY,RandomForestRegressor,no_deg_norm,1,0.0002522923979631941
IS_HOLIDAY,RandomForestRegressor,no_deg_norm,1,8.906352998630519e-06
WS10,RandomForestRegressor,no_deg_norm,1,0.004975344908592957
WS100,RandomForestRegressor,no_deg_norm,1,0.18736424139749308
WD100CARD_ENE,RandomForestRegressor,no_deg_norm,1,-8.867243221966081e-07
WD100CARD_ESE,RandomForestRegressor,no_deg_norm,1,3.12080039358148e-05
WD100CARD_N,RandomForestRegressor,no_deg_norm,1,2.3358745706184013e-05
WD100CARD_NE,RandomForestRegressor,no_deg_norm,1,-4.860152811683726e-06
WD100CARD_NNE,RandomForestRegressor,no_deg_norm,1,-2.111707254146833e-05
WD100CARD_NNW,RandomForestRegressor,no_deg_norm,1,0.00012169512351564993
WD100CARD_NW,RandomForestRegressor,no_deg_norm,1,-6.822869209487104e-05
WD100CARD_S,RandomForestRegressor,no_deg_norm,1,3.352331480382942e-06
WD100CARD_SE,RandomForestRegressor,no_deg_norm,1,-7.1624144087178985e-06
WD100CARD_SSE,RandomForestRegressor,no_deg_norm,1,-1.2018858717852132e-05
WD100CARD_SSW,RandomForestRegressor,no_deg_norm,1,1.5282304988903372e-05
WD100CARD_SW,RandomForestRegressor,no_deg_norm,1,1.2524744594116788e-05
WD100CARD_W,RandomForestRegressor,no_deg_norm,1,-8.924080545794077e-06
WD100CARD_WNW,RandomForestRegressor,no_deg_norm,1,-2.137861593208279e-05
WD100CARD_WSW,RandomForestRegressor,no_deg_norm,1,-5.889069705536376e-06
WD10CARD_ENE,RandomForestRegressor,no_deg_norm,1,-3.350628272877354e-06
WD10CARD_ESE,RandomForestRegressor,no_deg_norm,1,-2.445668555464686e-06
WD10CARD_N,RandomForestRegressor,no_deg_norm,1,-9.788112472264298e-07
WD10CARD_NE,RandomForestRegressor,no_deg_norm,1,-6.924256520743355e-06
WD10CARD_NNE,RandomForestRegressor,no_deg_norm,1,-6.858798892078744e-06
WD10CARD_NNW,RandomForestRegressor,no_deg_norm,1,2.2918023678150657e-05
WD10CARD_NW,RandomForestRegressor,no_deg_norm,1,-6.005350362596751e-05
WD10CARD_S,RandomForestRegressor,no_deg_norm,1,-7.585456815561998e-07
WD10CARD_SE,RandomForestRegressor,no_deg_norm,1,6.551394555098788e-06
WD10CARD_SSE,RandomForestRegressor,no_deg_norm,1,9.01501431235796e-06
WD10CARD_SSW,RandomForestRegressor,no_deg_norm,1,-6.059974597030782e-06
WD10CARD_SW,RandomForestRegressor,no_deg_norm,1,0.0001240598767731499
WD10CARD_W,RandomForestRegressor,no_deg_norm,1,-1.1644929481266498e-05
WD10CARD_WNW,RandomForestRegressor,no_deg_norm,1,-3.073013344948306e-05
WD10CARD_WSW,RandomForestRegressor,no_deg_norm,1,-2.422671953619393e-05
U10,RandomForestRegressor,no_deg_norm,2,0.0006316685148223366
V10,RandomForestRegressor,no_deg_norm,2,0.0031128419618741826
U100,RandomForestRegressor,no_deg_norm,2,0.00014188027049285011
V100,RandomForestRegressor,no_deg_norm,2,0.0037922092603630943
HOUR,RandomForestRegressor,no_deg_norm,2,0.0046663228040370736
MONTH,RandomForestRegressor,no_deg_norm,2,-3.576723273682192e-06
WEEKDAY,RandomForestRegressor,no_deg_norm,2,-0.00024382461545060797
IS_HOLIDAY,RandomForestRegressor,no_deg_norm,2,0.0
WS10,RandomForestRegressor,no_deg_norm,2,0.0003162791109726865
WS100,RandomForestRegressor,no_deg_norm,2,0.17394549666954567
WD100CARD_ENE,RandomForestRegressor,no_deg_norm,2,-1.397376759618152e-06
WD100CARD_ESE,RandomForestRegressor,no_deg_norm,2,-1.133971301398029e-06
WD100CARD_N,RandomForestRegressor,no_deg_norm,2,4.6983473208619954e-05
WD100CARD_NE,RandomForestRegressor,no_deg_norm,2,-1.9357790757207337e-06
WD100CARD_NNE,RandomForestRegressor,no_deg_norm,2,1.0844477446494971e-05
WD100CARD_NNW,RandomForestRegressor,no_deg_norm,2,7.013889653824935e-05
WD100CARD_NW,RandomForestRegressor,no_deg_norm,2,-1.3415996429061438e-05
WD100CARD_S,RandomForestRegressor,no_deg_norm,2,5.5953205132242e-06
WD100CARD_SE,RandomForestRegressor,no_deg_norm,2,-6.6560474417665105e-06
WD100CARD_SSE,RandomForestRegressor,no_deg_norm,2,-6.480654912614236e-05
WD100CARD_SSW,RandomForestRegressor,no_deg_norm,2,5.106087411246296e-05
WD100CARD_SW,RandomForestRegressor,no_deg_norm,2,2.498994981237901e-05
WD100CARD_W,RandomForestRegressor,no_deg_norm,2,-3.465200654357015e-05
WD100CARD_WNW,RandomForestRegressor,no_deg_norm,2,-2.2786338173297337e-05
WD100CARD_WSW,RandomForestRegressor,no_deg_norm,2,-1.6985106098160728e-05
WD10CARD_ENE,RandomForestRegressor,no_deg_norm,2,-5.316962203849584e-10
WD10CARD_ESE,RandomForestRegressor,no_deg_norm,2,-5.125570196298779e-06
WD10CARD_N,RandomForestRegressor,no_deg_norm,2,-1.1549263642957052e-05
WD10CARD_NE,RandomForestRegressor,no_deg_norm,2,-5.633124707632442e-06
WD10CARD_NNE,RandomForestRegressor,no_deg_norm,2,2.7042519870901227e-06
WD10CARD_NNW,RandomForestRegressor,no_deg_norm,2,-1.664991191487608e-05
WD10CARD_NW,RandomForestRegressor,no_deg_norm,2,5.7883798522090356e-06
WD10CARD_S,RandomForestRegressor,no_deg_norm,2,-1.5559913488449873e-06
WD10CARD_SE,RandomForestRegressor,no_deg_norm,2,-8.660198475368697e-06
WD10CARD_SSE,RandomForestRegressor,no_deg_norm,2,-0.0002653939029030383
WD10CARD_SSW,RandomForestRegressor,no_deg_norm,2,6.433660721178181e-05
WD10CARD_SW,RandomForestRegressor,no_deg_norm,2,7.58947496979967e-05
WD10CARD_W,RandomForestRegressor,no_deg_norm,2,-2.091067823743742e-05
WD10CARD_WNW,RandomForestRegressor,no_deg_norm,2,-8.135214444071615e-06
WD10CARD_WSW,RandomForestRegressor,no_deg_norm,2,0.0005407795670469506
HOUR,RandomForestRegressor,no_comp,3,0.0017830628306075096
MONTH,RandomForestRegressor,no_comp,3,0.0004251268309130779
WEEKDAY,RandomForestRegressor,no_comp,3,0.0001391426520861605
IS_HOLIDAY,RandomForestRegressor,no_comp,3,-1.108687621820259e-07
WS10,RandomForestRegressor,no_comp,3,0.0008243859103573864
WS100,RandomForestRegressor,no_comp,3,0.2563326688574542
WD10,RandomForestRegressor,no_comp,3,0.004753895517206711
WD100,RandomForestRegressor,no_comp,3,0.022631035996822382
WD100CARD_ENE,RandomForestRegressor,no_comp,3,2.0135225744191687e-05
WD100CARD_ESE,RandomForestRegressor,no_comp,3,2.8647968891570842e-08
WD100CARD_N,RandomForestRegressor,no_comp,3,9.698068259011983e-07
WD100CARD_NE,RandomForestRegressor,no_comp,3,4.0584386200878674e-05
WD100CARD_NNE,RandomForestRegressor,no_comp,3,-8.111606681290018e-05
WD100CARD_NNW,RandomForestRegressor,no_comp,3,1.8838777949159446e-05
WD100CARD_NW,RandomForestRegressor,no_comp,3,-1.4522230043723106e-06
WD100CARD_S,RandomForestRegressor,no_comp,3,1.4058565535365886e-05
WD100CARD_SE,RandomForestRegressor,no_comp,3,-7.1253048158553826e-06
WD100CARD_SSE,RandomForestRegressor,no_comp,3,3.062337470814136e-05
WD100CARD_SSW,RandomForestRegressor,no_comp,3,-1.0445650662596618e-05
WD100CARD_SW,RandomForestRegressor,no_comp,3,-2.30989231787021e-05
WD100CARD_W,RandomForestRegressor,no_comp,3,1.0172355091458973e-06
WD100CARD_WNW,RandomForestRegressor,no_comp,3,2.828616375035731e-05
WD100CARD_WSW,RandomForestRegressor,no_comp,3,1.5265732538180533e-05
WD10CARD_ENE,RandomForestRegressor,no_comp,3,0.00012338135014061392
WD10CARD_ESE,RandomForestRegressor,no_comp,3,1.9311856257669956e-06
WD10CARD_N,RandomForestRegressor,no_comp,3,6.018516726891132e-06
WD10CARD_NE,RandomForestRegressor,no_comp,3,-1.449964887929589e-05
